"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"2021-04-19 12:44:58",139873,"      [04/19/2021 12:46:22.70]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.28); _Temp1(15.93);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139874,"      [04/19/2021 12:46:22.73]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139875,"      [04/19/2021 12:46:23.75]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139876,"      [04/19/2021 12:46:24.10]    (DBG Cont. Move) : (561);newReading --  _CurrDept(15.56); _8PrevDpt(15.28);   BadCount(0)","Fltreset  OK  # data  5.00 15.56 330.83 -3.46 0.93 105.34 13.44 0.71 5.97 10.43   # "
"2021-04-19 12:44:58",139877,"      [04/19/2021 12:46:24.12]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.56); _Temp1(16.21);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139878,"      [04/19/2021 12:46:24.15]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139879,"      [04/19/2021 12:46:25.17]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139880,"      [04/19/2021 12:46:25.52]    (DBG Cont. Move) : (571);newReading --  _CurrDept(15.8); _8PrevDpt(15.56);   BadCount(0)","Fltreset  OK  # data  5.01 15.80 331.08 -3.46 0.96 105.33 13.44 0.71 5.97 10.43   # "
"2021-04-19 12:44:58",139881,"      [04/19/2021 12:46:25.54]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.8); _Temp1(16.45);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139882,"      [04/19/2021 12:46:25.57]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139883,"      [04/19/2021 12:46:26.59]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139884,"      [04/19/2021 12:46:26.94]    (DBG Cont. Move) : (581);newReading --  _CurrDept(16.08); _8PrevDpt(15.8);   BadCount(0)","Fltreset  OK  # data  5.00 16.08 330.87 -3.46 0.95 105.32 13.43 0.72 5.97 10.43   # "
"2021-04-19 12:44:58",139885,"      [04/19/2021 12:46:26.96]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.08); _Temp1(16.73);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139886,"      [04/19/2021 12:46:26.99]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139887,"      [04/19/2021 12:46:28.01]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139888,"      [04/19/2021 12:46:28.36]    (DBG Cont. Move) : (591);newReading --  _CurrDept(16.32); _8PrevDpt(16.08);   BadCount(0)","Fltreset  OK  # data  5.00 16.32 330.97 -3.45 0.98 105.30 13.43 0.73 5.97 10.43   # "
"2021-04-19 12:44:58",139889,"      [04/19/2021 12:46:28.38]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.32); _Temp1(16.97);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139890,"      [04/19/2021 12:46:28.41]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139891,"      [04/19/2021 12:46:29.43]    (DBG Cont. Move) : just sent Data Command",""
