"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-30 00:00:00",94711,"[05/30/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-30 00:46:05",94712,"[05/30/2020 00:50:49.12] *** End of profile [17] ***",""
"2020-05-30 12:44:52",96098,"      [05/30/2020 12:46:10.65]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96099,"      [05/30/2020 12:46:11]    (DBG Cont. Move) : (511);newReading --  _CurrDept(14.27); _8PrevDpt(14.04);   BadCount(0)","Fltreset  OK  # data  7.94 14.27 332.64 -3.16 1.24 102.63 12.15 0.04 6.05 10.15   # "
"2020-05-30 12:44:52",96100,"      [05/30/2020 12:46:11.02]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(14.27); _Temp1(14.92);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96101,"      [05/30/2020 12:46:11.05]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96102,"      [05/30/2020 12:46:12.07]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96103,"      [05/30/2020 12:46:12.42]    (DBG Cont. Move) : (521);newReading --  _CurrDept(14.52); _8PrevDpt(14.27);   BadCount(0)","Fltreset  OK  # data  7.84 14.52 333.07 -3.16 1.22 102.34 12.13 0.04 6.05 10.15   # "
"2020-05-30 12:44:52",96104,"      [05/30/2020 12:46:12.44]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(14.52); _Temp1(15.17);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96105,"      [05/30/2020 12:46:12.47]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96106,"      [05/30/2020 12:46:13.49]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96107,"      [05/30/2020 12:46:13.84]    (DBG Cont. Move) : (531);newReading --  _CurrDept(14.81); _8PrevDpt(14.52);   BadCount(0)","Fltreset  OK  # data  7.82 14.81 332.70 -3.16 1.16 102.04 12.12 0.05 6.05 10.15   # "
"2020-05-30 12:44:52",96108,"      [05/30/2020 12:46:13.86]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(14.81); _Temp1(15.46);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96109,"      [05/30/2020 12:46:13.89]    (DBG Cont. Move) : just sent FilterReset command",""
