"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2014-08-12 12:04:46",46,"(-1)43.82; (-1)43.55; ","[ (-1)  Curr( 43.55) PrevDpt( 43.82) ]; "
"2014-08-12 12:06:06",47,"43.45; 43.29; 43.16; 42.89; 42.69; 42.61; (-1)42.45; (-1)42.04; ","[ (-1)  Curr( 42.04) PrevDpt( 42.45) ]; "
"2014-08-12 12:07:31",48,"41.98; 41.86; 41.74; 41.41; 41.34; 41.07; (-1)40.95; (-1)40.57; ","[ (-1)  Curr( 40.57) PrevDpt( 40.95) ]; "
"2014-08-12 12:08:56",49,"40.71; 40.33; 40.26; 40.05; 39.9; 39.79; 39.44; (-1)39.41; (-1)39.09; ","[ (-1)  Curr( 39.09) PrevDpt( 39.41) ]; "
"2014-08-12 12:10:22",50,"38.94; 38.86; 38.7; 38.44; 38.39; 38.11; (-1)37.99; (-1)37.58; ","[ (-1)  Curr( 37.58) PrevDpt( 37.99) ]; "
"2014-08-12 12:11:47",51,"37.72; 37.27; 37.29; 36.86; 36.91; 36.62; (-1)36.38; (-1)36.02; ","[ (-1)  Curr( 36.02) PrevDpt( 36.38) ]; "
"2014-08-12 12:13:11",52,"35.92; 36.01; 35.67; 35.58; 35.32; 35.21; 34.87; (-1)34.88; (-1)34.52; ","[ (-1)  Curr( 34.52) PrevDpt( 34.88) ]; "
"2014-08-12 12:14:37",53,"34.62; 34.17; 34.15; 33.97; 33.67; 33.67; 33.21; (-1)33.18; (-1)33.09; ","[ (-1)  Curr( 33.09) PrevDpt( 33.18) ]; "
"2014-08-12 12:16:01",54,"32.93; 32.97; 32.51; 32.51; 32.21; 32.14; 31.81; (-1)31.58; ",""
"2014-08-12 12:17:21",55,"31.81; 31.33; 31.33; 31.11; 30.97; 30.73; 30.6; (-1)30.45; (-1)30.07; ","[ (-1)  Curr( 30.07) PrevDpt( 30.45) ]; "
"2014-08-12 12:18:47",56,"29.94; 29.97; 29.6; 29.48; 29.26; 29.13; (-1)28.94; (-1)28.62; (-1)28.44; ","[ (-1)  Curr( 28.44) PrevDpt( 28.62) ]; "
"2014-08-12 12:20:15",57,"28.49; 28.39; 28.17; 27.85; 27.83; 27.64; (-1)27.41; (-1)27.11; (-1)27.08; ","[ (-1)  Curr( 27.08) PrevDpt( 27.11) ]; "
"2014-08-12 12:21:43",58,"27.13; 26.89; 26.79; 26.46; 26.45; 26.16; 26.01; (-1)25.99; (-1)25.61; (-1)25.36; (1)25.51; ","[ (1)  Curr( 25.51) PrevDpt( 25.36) ]; "
"2014-08-12 12:23:16",59,"25.46; 25.39; 25.14; 24.93; 24.74; 24.57; (-1)24.51; (-1)24.16; (-1)23.98; ","[ (-1)  Curr( 23.98) PrevDpt( 24.16) ]; "
"2014-08-12 12:24:45",60,"23.91; 23.61; 23.64; 23.23; 23.18; 22.97; (-1)22.84; (-1)22.69; (-1)22.33; (1)22.58; ","[ (1)  Curr( 22.58) PrevDpt( 22.33) ]; "
"2014-08-12 12:26:17",61,"22.35; 22.4; 22.09; 21.93; 21.73; 21.54; (-1)21.45; (-1)21.16; (-1)20.91; ","[ (-1)  Curr( 20.91) PrevDpt( 21.16) ]; "
"2014-08-12 12:27:45",62,"20.93; 20.61; 20.5; 20.28; 20.07; (-1)19.93; (-1)19.58; ","[ (-1)  Curr( 19.58) PrevDpt( 19.93) ]; "
"2014-08-12 12:29:08",63,"19.49; 19.35; 19.09; 18.88; 18.7; 18.44; (-1)18.42; (-1)18.03; ","[ (-1)  Curr( 18.03) PrevDpt( 18.42) ]; "
"2014-08-12 12:30:32",64,"17.87; 17.69; 17.62; 17.3; 17.11; (-1)17.05; (-1)16.55; ","[ (-1)  Curr( 16.55) PrevDpt( 17.05) ]; "
"2014-08-12 12:31:56",65,"16.29; 16.46; 15.86; 16.03; 15.62; (-1)15.57; (-1)14.98; ","[ (-1)  Curr( 14.98) PrevDpt( 15.57) ]; "
"2014-08-12 12:33:20",66,"14.87; 14.84; 14.54; 14.43; 14.12; (-1)14.03; (-1)13.5; ","[ (-1)  Curr( 13.5) PrevDpt( 14.03) ]; "
"2014-08-12 12:34:44",67,"13.63; 13.29; 13.1; 12.91; 12.74; 12.61; (-1)12.29; (-1)12.16; (-1)11.95; ","[ (-1)  Curr( 11.95) PrevDpt( 12.16) ]; "
"2014-08-12 12:36:12",68,"12.03; 11.76; 11.55; 11.31; 11.19; 10.87; (-1)10.72; (-1)10.55; ","[ (-1)  Curr( 10.55) PrevDpt( 10.72) ]; "
"2014-08-12 12:37:35",69,"10.46; 10.31; 10.02; 9.93; 9.53; (-1)9.46; (-1)8.96; ","[ (-1)  Curr( 8.96) PrevDpt( 9.46) ]; "
"2014-08-12 12:38:58",70,"9.1; 8.74; 8.67; 8.34; 8.09; (-1)8.060001; (-1)7.54; ","[ (-1)  Curr( 7.54) PrevDpt( 8.060001) ]; "
"2014-08-12 12:40:22",71,"7.47; 7.27; 6.94; 6.86; 6.55; (-1)6.37; (-1)5.99; ","[ (-1)  Curr( 5.99) PrevDpt( 6.37) ]; "
"2014-08-12 12:41:45",72,"5.99; 5.85; 5.67; 5.33; 5.22; 4.88; (-1)4.84; (-1)4.44; ","[ (-1)  Curr( 4.44) PrevDpt( 4.84) ]; "
"2014-08-12 12:43:09",73,"4.44; 4.17; 4.01; 3.81; 3.58; (-1)3.41; (-1)3.01; ","[ (-1)  Curr( 3.01) PrevDpt( 3.41) ]; "
"2014-08-12 12:44:32",74,"3; 2.81; 2.62; 2.33; 2.21; 1.92; (-1)1.77; (-1)1.51; ","[ (-1)  Curr( 1.51) PrevDpt( 1.77) ]; "
"2014-08-12 12:45:56",75,"(-1)1.11; (-1)1; ","[ (-1)  Curr( 1) PrevDpt( 1.11) ]; "
"2014-08-13 00:00:34",76,"(1)47.37; ","[ (1)  Curr( 47.37) PrevDpt( 47.75) ]; "
"2014-08-13 00:00:48",77,"(1)47.21; ","[ (1)  Curr( 47.21) PrevDpt( 47.37) ]; "
"2014-08-13 00:01:04",78,"(1)47.34; (1)47.73; (1)47.79; (1)48.07; ","[ (1)  Curr( 48.07) PrevDpt( 47.79) ]; "
"2014-08-13 00:02:25",79,"47.81; 47.98; 47.57; 47.49; 47.28; 47.15; (-1)47.03; (-1)46.63; (-1)46.46; ","[ (-1)  Curr( 46.46) PrevDpt( 46.63) ]; "
"2014-08-13 00:03:54",80,"46.48; 46.38; 46.14; 46.01; 45.79; 45.72; 45.41; (-1)45.3; (-1)45.05; ","[ (-1)  Curr( 45.05) PrevDpt( 45.3) ]; "
