"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-10-13 00:16:38",1934,"31.27; 31.43; 30.99; 30.96; 30.71; 30.59; (-1)30.31; (-1)30.16; (-1)29.97; ","[ (-1)  Curr( 29.97) PrevDpt( 30.16) ]; "
"2020-10-13 00:18:06",1935,"30.01; 29.83; 29.65; 29.47; 29.21; 29.14; 28.91; (-1)28.82; (-1)28.57; ","[ (-1)  Curr( 28.57) PrevDpt( 28.82) ]; "
"2020-10-13 00:19:31",1936,"28.59; 28.29; 28.18; 27.97; 27.8; 27.7; 27.42; (-1)27.33; (-1)27.08; ","[ (-1)  Curr( 27.08) PrevDpt( 27.33) ]; "
"2020-10-13 00:20:56",1937,"27.06; 26.83; 26.65; 26.51; 26.29; 26.15; (-1)26.05; (-1)25.6; ","[ (-1)  Curr( 25.6) PrevDpt( 26.05) ]; "
"2020-10-13 00:22:21",1938,"25.57; 25.43; 25.27; 25.09; 24.8; 24.76; 24.43; (-1)24.45; (-1)24.08; ","[ (-1)  Curr( 24.08) PrevDpt( 24.45) ]; "
"2020-10-13 00:23:47",1939,"23.97; 23.84; 23.69; 23.51; 23.31; 23.18; 23.01; (-1)22.87; (-1)22.55; ","[ (-1)  Curr( 22.55) PrevDpt( 22.87) ]; "
"2020-10-13 00:25:13",1940,"22.61; 22.38; 22.28; 22.13; 21.78; 21.68; 21.58; (-1)21.35; (-1)21.17; (-1)20.99; ","[ (-1)  Curr( 20.99) PrevDpt( 21.17) ]; "
"2020-10-13 00:26:43",1941,"21.03; 20.86; 20.73; 20.49; 20.29; 20.2; 19.99; (-1)19.78; (-1)19.54; ","[ (-1)  Curr( 19.54) PrevDpt( 19.78) ]; "
"2020-10-13 00:28:08",1942,"19.68; 19.36; 19.31; 18.98; 18.94; 18.64; (-1)18.51; (-1)18.11; (-1)18.2; (-1)17.87; (1)18.08; ","[ (1)  Curr( 18.08) PrevDpt( 17.87) ]; "
"2020-10-13 00:28:55",1943,"",""
"2020-10-13 00:29:56",1944,"17.24; 17.24; 16.99; (-1)16.76; (-1)16.74; (-1)16.42; ","[ (-1)  Curr( 16.42) PrevDpt( 16.74) ]; "
"2020-10-13 00:31:20",1945,"16.56; 16.09; 16.2; 15.72; 15.82; 15.29; (-1)15.51; (-1)14.99; ","[ (-1)  Curr( 14.99) PrevDpt( 15.51) ]; "
"2020-10-13 00:32:45",1946,"14.99; 14.64; 14.56; 14.36; 14.27; 13.86; (-1)13.82; (-1)13.67; (-1)13.46; ","[ (-1)  Curr( 13.46) PrevDpt( 13.67) ]; "
"2020-10-13 00:34:13",1947,"13.3; 13.33; 13; 12.88; 12.64; (-1)12.45; (-1)12.13; (-1)12.01; ","[ (-1)  Curr( 12.01) PrevDpt( 12.13) ]; "
"2020-10-13 00:35:40",1948,"12.11; 11.78; 11.65; 11.44; 11.28; 11.12; (-1)10.77; (-1)10.72; (-1)10.46; ","[ (-1)  Curr( 10.46) PrevDpt( 10.72) ]; "
"2020-10-13 00:37:08",1949,"10.36; 10.43; 9.97; 9.97; 9.63; (-1)9.55; (-1)9.07; ","[ (-1)  Curr( 9.07) PrevDpt( 9.55) ]; "
"2020-10-13 00:38:32",1950,"9.229999; 8.84; 8.7; 8.51; 8.3; 8.14; (-1)8.05; (-1)7.55; ","[ (-1)  Curr( 7.55) PrevDpt( 8.05) ]; "
"2020-10-13 00:39:57",1951,"7.62; 7.22; 7.24; 6.84; 6.83; 6.47; (-1)6.43; (-1)6.03; ","[ (-1)  Curr( 6.03) PrevDpt( 6.43) ]; "
"2020-10-13 00:41:21",1952,"6.06; 5.7; 5.69; 5.31; 5.26; 4.96; (-1)4.9; (-1)4.54; ","[ (-1)  Curr( 4.54) PrevDpt( 4.9) ]; "
"2020-10-13 00:42:45",1953,"4.49; 4.19; 3.94; 3.96; 3.52; (-1)3.44; (-1)3.12; (-1)3.06; ","[ (-1)  Curr( 3.06) PrevDpt( 3.12) ]; "
"2020-10-13 00:44:12",1954,"2.97; 2.83; 2.5; 2.45; 2.11; (-1)2.06; (-1)1.56; ","[ (-1)  Curr( 1.56) PrevDpt( 2.06) ]; "
"2020-10-13 00:45:36",1955,"(-1)1.14; (-1)1; ","[ (-1)  Curr( 1) PrevDpt( 1.14) ]; "
"2020-10-17 00:00:31",1956,"44.06; 44.25; 44.42; 44.59; 44.78; 44.93; 45.12; 45.28; 45.45; 45.63; 45.81; 46; (1)46.14; (1)46.34; (1)46.44; ","[ (1)  Curr( 46.44) PrevDpt( 46.34) ]; "
"2020-10-17 00:01:59",1957,"46.41; 46.26; 46.11; 45.99; 45.84; 45.68; 45.56; (-1)45.42; (-1)45.2; (-1)45.06; ","[ (-1)  Curr( 45.06) PrevDpt( 45.2) ]; "
"2020-10-17 00:03:29",1958,"45.03; 44.91; 44.72; 44.57; 44.42; 44.26; 44.09; (-1)43.97; (-1)43.7; (-1)43.58; ","[ (-1)  Curr( 43.58) PrevDpt( 43.7) ]; "
"2020-10-17 00:04:59",1959,"43.54; 43.39; 43.23; 43.08; 42.91; 42.75; 42.61; (-1)42.47; (-1)42.18; (-1)42.07; ","[ (-1)  Curr( 42.07) PrevDpt( 42.18) ]; "
